  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = analysis)

$`as.character(size)`
                 diff         lwr         upr     p adj
10000-1000  245.15165  180.807048  309.496254 0.0000000
2000-1000    26.69000  -37.654602   91.034605 0.9445283
3000-1000    53.92886  -10.415743  118.273463 0.1865382
4000-1000    80.58861   16.244007  144.933214 0.0035216
5000-1000   108.17291   43.828310  172.517517 0.0000112
6000-1000   133.74600   69.401394  198.090601 0.0000000
7000-1000   156.58556   92.240952  220.930159 0.0000000
8000-1000   175.64219  111.297588  239.986795 0.0000000
9000-1000   203.27775  138.933147  267.622353 0.0000000
2000-10000 -218.46165 -282.806252 -154.117046 0.0000000
3000-10000 -191.22279 -255.567394 -126.878187 0.0000000
4000-10000 -164.56304 -228.907644 -100.218437 0.0000000
5000-10000 -136.97874 -201.323340  -72.634134 0.0000000
6000-10000 -111.40565 -175.750257  -47.061050 0.0000053
7000-10000  -88.56610 -152.910698  -24.221492 0.0007686
8000-10000  -69.50946 -133.854063   -5.164856 0.0231164
9000-10000  -41.87390 -106.218504   22.470702 0.5372900
3000-2000    27.23886  -37.105745   91.583462 0.9373028
4000-2000    53.89861  -10.445994  118.243212 0.1871574
5000-2000    81.48291   17.138309  145.827515 0.0029886
6000-2000   107.05600   42.711393  171.400599 0.0000145
7000-2000   129.89555   65.550951  194.240157 0.0000001
8000-2000   148.95219   84.607586  213.296793 0.0000000
9000-2000   176.58775  112.243145  240.932352 0.0000000
4000-3000    26.65975  -37.684853   91.004354 0.9449088
5000-3000    54.24405  -10.100550  118.588657 0.1801741
6000-3000    79.81714   15.472534  144.161741 0.0040516
7000-3000   102.65670   38.312092  167.001299 0.0000392
8000-3000   121.71333   57.368728  186.057934 0.0000004
9000-3000   149.34889   85.004287  213.693493 0.0000000
5000-4000    27.58430  -36.760300   91.928906 0.9324373
6000-4000    53.15739  -11.187216  117.501990 0.2027880
7000-4000    75.99695   11.652342  140.341549 0.0079550
8000-4000    95.05358   30.708978  159.398184 0.0002037
9000-4000   122.68914   58.344536  187.033743 0.0000003
6000-5000    25.57308  -38.771519   89.917687 0.9573928
7000-5000    48.41264  -15.931961  112.757245 0.3236308
8000-5000    67.46928    3.124674  131.813881 0.0316248
9000-5000    95.10484   30.760233  159.449439 0.0002015
7000-6000    22.83956  -41.505045   87.184161 0.9796313
8000-6000    41.89619  -22.448410  106.240797 0.5365121
9000-6000    69.53175    5.187149  133.876356 0.0230360
8000-7000    19.05664  -45.287968   83.401239 0.9943657
9000-7000    46.69219  -17.652409  111.036797 0.3756909
9000-8000    27.63556  -36.709045   91.980162 0.9316942

