type;size;time;cluster;mark;model
sequencial;1000;23.8267240524292;1;ASUS;S46C
sequencial;2000;49.1216199398041;1;ASUS;S46C
sequencial;3000;68.804456949234;1;ASUS;S46C
sequencial;4000;89.1850521564484;1;ASUS;S46C
sequencial;5000;125.263203144073;1;ASUS;S46C
sequencial;6000;125.41937494278;1;ASUS;S46C
sequencial;7000;146.211417913437;1;ASUS;S46C
sequencial;8000;166.02228307724;1;ASUS;S46C
sequencial;9000;259.281388044357;1;ASUS;S46C
sequencial;10000;475.908034801483;1;ASUS;S46C
parallel;1000;46.0670421123505;2;ASUS;S46C
parallel;2000;105.221112012863;2;ASUS;S46C
parallel;3000;158.294283151627;2;ASUS;S46C
parallel;4000;173.487596035004;2;ASUS;S46C
parallel;5000;224.351567029953;2;ASUS;S46C
parallel;6000;254.081886053085;2;ASUS;S46C
parallel;7000;228.265017032623;2;ASUS;S46C
parallel;8000;266.495531797409;2;ASUS;S46C
parallel;9000;289.465468883514;2;ASUS;S46C
parallel;10000;333.060481071472;2;ASUS;S46C
parallel;1000;33.5692429542542;4;ASUS;S46C
parallel;2000;63.7467339038849;4;ASUS;S46C
parallel;3000;91.218652009964;4;ASUS;S46C
parallel;4000;128.447196006775;4;ASUS;S46C
parallel;5000;163.381446123123;4;ASUS;S46C
parallel;6000;190.749017000198;4;ASUS;S46C
parallel;7000;238.097796201706;4;ASUS;S46C
parallel;8000;257.092880964279;4;ASUS;S46C
parallel;9000;289.70050907135;4;ASUS;S46C
parallel;10000;325.646408081055;4;ASUS;S46C
parallel;1000;30.3578729629517;6;ASUS;S46C
parallel;2000;63.0234248638153;6;ASUS;S46C
parallel;3000;94.3608999252319;6;ASUS;S46C
parallel;4000;130.706526041031;6;ASUS;S46C
parallel;5000;175.776273965836;6;ASUS;S46C
parallel;6000;212.236846923828;6;ASUS;S46C
parallel;7000;230.221465826035;6;ASUS;S46C
parallel;8000;264.672441005707;6;ASUS;S46C
parallel;9000;299.039901018143;6;ASUS;S46C
parallel;10000;327.86446595192;6;ASUS;S46C
sequencial;1000;10.4899353981018;1;HP;NA
sequencial;2000;20.3223400115967;1;HP;NA
sequencial;3000;31.5084371566772;1;HP;NA
sequencial;4000;42.0064141750336;1;HP;NA
sequencial;5000;52.0719466209412;1;HP;NA
sequencial;6000;63.2533764839172;1;HP;NA
sequencial;7000;74.3393623828888;1;HP;NA
sequencial;8000;84.5918073654175;1;HP;NA
sequencial;9000;94.6298995018005;1;HP;NA
sequencial;10000;105.038092851639;1;HP;NA
parallel;1000;38.5925719738007;2;HP;NA
parallel;2000;75.3695180416107;2;HP;NA
parallel;3000;108.773641109467;2;HP;NA
parallel;4000;130.820434570312;2;HP;NA
parallel;5000;162.931410312653;2;HP;NA
parallel;6000;184.611685276031;2;HP;NA
parallel;7000;199.611839771271;2;HP;NA
parallel;8000;193.641614198685;2;HP;NA
parallel;9000;176.850675106049;2;HP;NA
parallel;10000;193.62806725502;2;HP;NA
parallel;1000;21.6148543357849;4;HP;NA
parallel;2000;43.5059721469879;4;HP;NA
parallel;3000;65.1259171962738;4;HP;NA
parallel;4000;88.103443145752;4;HP;NA
parallel;5000;110.110951662064;4;HP;NA
parallel;6000;131.99644446373;4;HP;NA
parallel;7000;155.855875968933;4;HP;NA
parallel;8000;179.118987798691;4;HP;NA
parallel;9000;202.522691726685;4;HP;NA
parallel;10000;219.969020605087;4;HP;NA
parallel;1000;23.0414955615997;6;HP;NA
parallel;2000;46.3578898906708;6;HP;NA
parallel;3000;71.486065864563;6;HP;NA
parallel;4000;95.1488332748413;6;HP;NA
parallel;5000;118.581768989563;6;HP;NA
parallel;6000;187.567794799805;6;HP;NA
parallel;7000;242.111588716507;6;HP;NA
